,dates,overall-ratings,work-balance-stars,carrer-opportunities-stars,comp-benefit-stars
51838,"Apr 2, 2017",3,4,3,4
51839,"Apr 2, 2017",3,3,5,5
63515,"Apr 2, 2017",4,3,3,4
63516,"Apr 2, 2017",4,5,5,5
50345,"Apr 2, 2018",2,3,2,4
50364,"Apr 2, 2018",2,3,2,5
50367,"Apr 2, 2018",2,none,none,none
50358,"Apr 2, 2018",4,4,4,5
50359,"Apr 2, 2018",4,3,5,4
62572,"Apr 2, 2018",4,5,5,3
50313,"Apr 2, 2018",5,5,3,5
61893,"Apr 20, 2008",2,4,1.5,3.5
61865,"Apr 20, 2008",5,5,5,5
61871,"Apr 20, 2008",5,5,5,5
61240,"Apr 20, 2009",2,2.5,1,4.5
60897,"Apr 20, 2010",3,2.5,1,3.5
60397,"Apr 20, 2011",3,2.5,3.5,5
60394,"Apr 20, 2011",4,5,3,4.5
59914,"Apr 20, 2012",2,3.5,2,4
59889,"Apr 20, 2012",5,5,5,5
58896,"Apr 20, 2013",2,3,3,3
57464,"Apr 20, 2014",5,5,5,5
55790,"Apr 20, 2015",4,5,5,5
55791,"Apr 20, 2015",4,3,4,5
55792,"Apr 20, 2015",4,3,4,5
65387,"Apr 20, 2015",4,4,3,3
65388,"Apr 20, 2015",4,4,3,4
53528,"Apr 20, 2016",3,4,3,4
53524,"Apr 20, 2016",4,4,4,5
53525,"Apr 20, 2016",4,3,4,4
53526,"Apr 20, 2016",4,none,none,none
53527,"Apr 20, 2016",4,4,5,5
53452,"Apr 20, 2016",5,5,3,3
53453,"Apr 20, 2016",5,4,5,5
53454,"Apr 20, 2016",5,none,none,none
64370,"Apr 20, 2016",5,4,4,3
64387,"Apr 20, 2016",5,none,none,none
51759,"Apr 20, 2017",3,3,4,3
51755,"Apr 20, 2017",4,4,5,4
51756,"Apr 20, 2017",4,none,none,none
51765,"Apr 20, 2017",4,3,3,5
51647,"Apr 20, 2017",5,4,3,4
51679,"Apr 20, 2017",5,2,5,5
51680,"Apr 20, 2017",5,5,5,5
51681,"Apr 20, 2017",5,5,4,4
63438,"Apr 20, 2017",5,5,5,5
50307,"Apr 20, 2018",3,none,none,none
62524,"Apr 20, 2018",4,3,2,4
61895,"Apr 21, 2008",4,3,5,5
61866,"Apr 21, 2008",5,5,4.5,5
61239,"Apr 21, 2009",4,4,4,5
61242,"Apr 21, 2009",4,4,3,4.5
60899,"Apr 21, 2010",4,5,5,5
60395,"Apr 21, 2011",2,4,2,3
60396,"Apr 21, 2011",2,4,3.5,4
60380,"Apr 21, 2011",5,4.5,3.5,5
59915,"Apr 21, 2012",3,3.5,2,3.5
59917,"Apr 21, 2012",3,5,3,3
58895,"Apr 21, 2013",4,none,none,none
58899,"Apr 21, 2013",4,4,4,4
57510,"Apr 21, 2014",4,5,5,5
57512,"Apr 21, 2014",4,2,3,3
57459,"Apr 21, 2014",5,5,4,5
57460,"Apr 21, 2014",5,4,4,5
57461,"Apr 21, 2014",5,5,5,5
55793,"Apr 21, 2015",2,3,none,5
65389,"Apr 21, 2015",4,4,4,4
55716,"Apr 21, 2015",5,5,5,5
55730,"Apr 21, 2015",5,5,5,5
53637,"Apr 21, 2016",1,2,2,4
64460,"Apr 21, 2016",1,none,none,none
53511,"Apr 21, 2016",4,5,4,3
53512,"Apr 21, 2016",4,5,4,4
53517,"Apr 21, 2016",4,3,4,4
64416,"Apr 21, 2016",4,none,none,none
53444,"Apr 21, 2016",5,5,5,5
53445,"Apr 21, 2016",5,4,5,5
53446,"Apr 21, 2016",5,none,none,none
51753,"Apr 21, 2017",3,3,4,4
63471,"Apr 21, 2017",3,2,2,2
51748,"Apr 21, 2017",4,5,4,3
51749,"Apr 21, 2017",4,3,3,4
51750,"Apr 21, 2017",4,4,5,4
51751,"Apr 21, 2017",4,5,4,5
51757,"Apr 21, 2017",4,4,4,4
51672,"Apr 21, 2017",5,none,none,none
50298,"Apr 21, 2018",4,2,3,4
50301,"Apr 21, 2018",4,4,4,3
50302,"Apr 21, 2018",4,4,3,4
50303,"Apr 21, 2018",4,3,4,3
62489,"Apr 21, 2018",5,none,none,none
60894,"Apr 22, 2010",2,2,2,4.5
60393,"Apr 22, 2011",3,3.5,3,5
59906,"Apr 22, 2012",5,5,4,5
58892,"Apr 22, 2013",3,4,3,3
58893,"Apr 22, 2013",3,5,3,5
58894,"Apr 22, 2013",3,3,3,5
58891,"Apr 22, 2013",4,4,4,4
57499,"Apr 22, 2014",2,2,2,3
57509,"Apr 22, 2014",3,3,3,4
57505,"Apr 22, 2014",4,2,2,2
57506,"Apr 22, 2014",4,none,none,none
57507,"Apr 22, 2014",4,4,4,5
57508,"Apr 22, 2014",4,5,3,5
57456,"Apr 22, 2014",5,2,4,4
57457,"Apr 22, 2014",5,3,5,5
55725,"Apr 22, 2015",5,3,4,4
53505,"Apr 22, 2016",4,3,3,4
53514,"Apr 22, 2016",4,4,5,5
64410,"Apr 22, 2016",4,none,none,none
64417,"Apr 22, 2016",4,4,3,5
53437,"Apr 22, 2016",5,4,5,5
53438,"Apr 22, 2016",5,none,none,none
64377,"Apr 22, 2016",5,5,5,4
64378,"Apr 22, 2016",5,none,none,none
51734,"Apr 22, 2017",4,3,4,5
51745,"Apr 22, 2017",4,4,4,4
51746,"Apr 22, 2017",4,4,5,4
50288,"Apr 22, 2018",2,2,2,4
62520,"Apr 22, 2018",4,4,4,4
50265,"Apr 22, 2018",5,none,none,none
62483,"Apr 22, 2018",5,5,3,4
61863,"Apr 23, 2008",5,4,4.5,4.5
61238,"Apr 23, 2009",3,1,3.5,5
60391,"Apr 23, 2011",3,3,3,3
60390,"Apr 23, 2011",4,4,5,5
59907,"Apr 23, 2012",2,1,2.5,3
59909,"Apr 23, 2012",2,5,3,4.5
59913,"Apr 23, 2012",4,3,4,4.5
59900,"Apr 23, 2012",5,5,5,5
58889,"Apr 23, 2013",3,4,3,3
58888,"Apr 23, 2013",4,2,4,3
57595,"Apr 23, 2014",1,4,2,4
57496,"Apr 23, 2014",3,2,3,5
57503,"Apr 23, 2014",3,3,3,3
57501,"Apr 23, 2014",4,3,4,3
57502,"Apr 23, 2014",4,3,4,4
57454,"Apr 23, 2014",5,5,4,3
55875,"Apr 23, 2015",1,none,none,none
55765,"Apr 23, 2015",4,3,4,4
65384,"Apr 23, 2015",4,5,4,4
55726,"Apr 23, 2015",5,5,5,5
53516,"Apr 23, 2016",2,3,2,3
53513,"Apr 23, 2016",4,5,4,4
64414,"Apr 23, 2016",4,4,4,4
53434,"Apr 23, 2016",5,4,4,4
64373,"Apr 23, 2016",5,5,5,5
51744,"Apr 23, 2017",3,3,5,3
